5'nucleotidase increased	5'nucléotidase augmentée
Rhesus incompatibility	Incompatibilité rhésus
Rheumatic disorder	Trouble rhumatismal
Rheumatic fever	Rhumatisme articulaire aigu
Rheumatic heart disease	Cardiopathie rhumatismale
Rheumatism	Rhumatisme
Rheumatoid arthritis	Polyarthrite rhumatoïde
Rheumatoid arthritis aggravated	Arthrite rhumatoïde aggravée
Rhinalgia	Rhinalgie
Rhinitis	Rhinite
Rhinitis allergic	Rhinite allergique
Rhinitis atrophic	Rhinite atrophique
Rhinitis perennial	Rhinite vivace
Rhinitis seasonal	Rhinite saisonnière
Rhinitis ulcerative	Rhinite ulcéreuse
Rhinorrhoea	Rhinorrhée
Rhinosinusitis	Rhinosinusite
Rhonchi	Rhonchi
Rhythm idioventricular	Rythme idioventriculaire
Rib fracture	Fracture des côtes
Rib pain	Douleur aux côtes
Rickets	Rachitisme
Rickets (vitamin D resistant)	Rickets (résistant à la vitamine D)
Rickets familial hypophosphataemic	Hypophosphatémie familiale de rachitisme
Rickettsialpox	Rickettsialpox
Right upper quadrant pain	Douleur dans le quadrant supérieur droit
Right ventricular failure	Insuffisance ventriculaire droite
Rigors	Rigueur
Risus sardonicus	Risus sardonicus
Road traffic accident	Accident de la circulation
Rocky mountain spotted fever	Fièvre pourprée
Rosacea	Rosacée
Rotator cuff syndrome	Syndrome de la coiffe des rotateurs
Rubber sensitivity	Sensibilité au caoutchouc
Rubella	Rubéole
Sacroiliitis	Sacroiliite
Salaam's tic	Tic de Salaam
Saliva altered	Salive altérée
Salivary duct obstruction	Obstruction du canal salivaire
Salivary gland conditions	Conditions des glandes salivaires
Salivary gland disorder	Trouble des glandes salivaires
Salivary gland enlargement	L'élargissement des glandes salivaires
Salivary gland pain	Douleurs des glandes salivaires
Salivary gland swelling	Gonflement des glandes salivaires
Salivary hypersecretion	Hypersécrétion salivaire
Salivation	Salivation
Salmonella sepsis	Salmonella sepsis
Salmonellosis	Salmonellose
Salpingitis	Salpingite
Salpingo-oophoritis	Salpingo-ovarite
Sarcoidosis	Sarcoïdose
Sarcoma	Sarcome
Sarcoma uterus	Sarcome utérus
Scab	Gale
Scabies	Gale
Scald	Ébouillanter
Scar	Cicatrice
Scar pain	Douleur cicatricielle
Scarlet fever	Scarlatine
Schizoaffective disorder	Trouble schizo-affectif
Schizophrenia	Schizophrénie
Schizophrenia and other psychotic disorders	Schizophrénie et autres troubles psychotiques
Schizophrenia, paranoid type	Schizophrénie, type paranoïaque
Schizophrenic reaction	Réaction schizophrénique
Schizophreniform disorder	Trouble schizophréniforme
Schwannoma	Schwannome
Sciatica	Sciatique
Scintillating scotoma	Scotome scintillant
Scleral discolouration	Décoloration sclérale
Scleral disorder	Trouble scléral
Scleral haemorrhage	Hémorragie sclérale
Scleral hyperaemia	Hyperémie sclérale
Scleral icterus	Icterus scléral
Scleral pigmentation	Pigmentation sclérale
Scleral thinning	Amincissement scléral
Scleritis	Sclérite
Scleroderma	Sclérodermie
Scleromalacia	Scléromalacie
Sclerosing encapsulating peritonitis	Péritonite encapsulante sclérosante
Scoliosis	Scoliose
Scotoma	Scotoma
Scotoma annular	Scotoma annulaire
Scotoma of blind spot area	Scotoma de la zone d'angle mort
Scratch	Rayure
Screaming	En hurlant
Scrotal disorder	Trouble du scrotum
Scrotal erythema	Érythème scrotal
Scrotal oedema	?dème scrotal
Scrotal pain	Douleur scrotale
Scrotal swelling	Gonflement du scrotum
Scrotal ulcer	Ulcère du scrotum
Scrub typhus	Gommage typhus
Scurvy	Scorbut
Seasonal affective disorder	Trouble affectif saisonnier
Seasonal allergy	Allergie saisonnière
Sebaceous gland disorder	Trouble de la glande sébacée
Sebaceous hyperplasia	Hyperplasie sébacée
Seborrhoeic dermatitis	Dermatite séborrhéique
Seborrhoeic keratosis	Kératose séborrhéique
Secondary adrenal insufficiency	Insuffisance surrénalienne secondaire
Secondary adrenocortical insufficiency	Insuffisance corticosurrénale secondaire
Secondary aldosteronism	Aldostéronisme secondaire
Secondary anemia	Anémie secondaire
Secondary glaucoma	Glaucome secondaire
Secondary gout	Goutte secondaire
Secondary hypertension	Hypertension secondaire
Secondary hypogonadism	Hypogonadisme secondaire
Secondary infection	Infection secondaire
Secondary parkinsonism	Parkinsonisme secondaire
Secondary progressive multiple sclerosis	Sclérose en plaques progressive secondaire
Secondary syphilis	Syphilis secondaire
Secondary thrombocytopenia	Thrombocytopénie secondaire
Sedation	Sédation
Seizure cerebral	Crise cérébrale
Self injurious behaviour	Comportement d'automutilation
Self mutilation	Auto-mutilation
Self-injurious ideation	Idéation d'automutilation
Semen abnormal	Sperme anormal
Semen analysis abnormal	Analyse de sperme anormale
Semen volume decreased	Volume de sperme diminué
Senile ankylosing vertebral hyperostosis	Hyperostose vertébrale ankylosante sénile
Senile dementia	Démence sénile
Senile pruritus	Prurit sénile
Senile psychosis	Psychose sénile
Senility	Sénilité
Sensation of blood flow	Sensation de circulation sanguine
Sensation of foreign body	Sensation de corps étranger
Sensation of heat	Sensation de chaleur
Sensation of heaviness	Sensation de lourdeur
Sensation of pressure	Sensation de pression
Sensation of warmth	Sensation de chaleur
Sense of oppression	Sentiment d'oppression
Sensitisation	Sensibilisation
Sensitivity of teeth	Sensibilité des dents
Sensorimotor disorder	Trouble sensorimoteur
Sensory ataxia	Ataxie sensorielle
Sensory disturbance	Perturbation sensorielle
Sensory loss	Perte sensorielle
Separation	Séparation
Sepsis	État septique
Sepsis neonatal	Septicémie néonatale
Sepsis secondary	Septicémie secondaire
Septic arthritis streptobacillus	Streptobacille arthrite septique
Septic joint	Articulation septique
Septic shock	Choc septique
Septicaemia due to gram-negative organism, unspecified	Septicémie due à un organisme gram négatif, sans précision
Septicemia	Septicémie
Seroma	Serum
Serositis	Sérite
Serotonin syndrome	Syndrome sérotoninergique
Serous retinal detachment	Décollement séreux de la rétine
Serum albumin decreased	Albumine sérique diminuée
Serum amylase increased	Amylase sérique augmentée
Serum bicarbonate increased	Augmentation du bicarbonate sérique
Serum bilirubin increased	Augmentation de la bilirubine sérique
Serum calcium decreased	Calcium sérique diminué
Serum calcium increased	Calcium sérique augmenté
Serum cholesterol normal	Cholestérol sérique normal
Serum creatinine abnormal	Créatinine sérique anormale
Serum creatinine decreased	Créatinine sérique diminuée
Serum creatinine increased	Augmentation de la créatinine sérique
Serum ferritin decreased	Ferritine sérique a diminué
Serum ferritin increased	Augmentation de la ferritine sérique
Serum gastrin increased	Augmentation de la gastrine sérique
Serum iron decreased	Fer sérique diminué
Serum iron increased	Fer sérique augmenté
Serum osmolality increased	Augmentation de l'osmolalité sérique
Serum phosphate increased	Phosphate sérique augmenté
Serum potassium abnormal	Potassium sérique anormal
Serum potassium decreased	Potassium sérique diminué
Serum potassium increased	Potassium sérique augmenté
Serum prolactin decreased	Prolactine sérique diminuée
Serum prolactin increased	Augmentation de la prolactine sérique
Serum sickness	Maladie sérique
Serum sickness-like reaction	Réaction de type maladie sérique
Serum sodium abnormal	Anémie sodique
Serum testosterone decreased	Testostérone sérique diminuée
Serum testosterone increased	Augmentation de la testostérone sérique
Serum total protein decreased	Protéines sériques totales diminuées
Serum transaminase increased	Augmentation de la transaminase sérique
Serum triglycerides increased	Augmentation des triglycérides sériques
Serum urea increased	Augmentation de l'urée sérique
Severe acute respiratory syndrome	Syndrome respiratoire aigu sévère
Sexual abuse	Abus sexuel
Sexual assault	Agression sexuelle
Sexual assault victim	Victime d'agression sexuelle
Sexual desire disorders	Troubles du désir sexuel
Sexual dysfunction	Dysfonction sexuelle
Sexually active	Sexuellement actif
Sexually transmitted disease	Maladie sexuellement transmissible
Shakiness	Tremblement
Shaky feelings	Sentiments tremblants
Shallow breathing	Respiration superficielle
Shift to the left	Déplacer vers la gauche
Shigella infection	Infection à Shigella
Shivering	Frissonnant
Shock	Choc
Shock haemorrhagic	Choc hémorragique
Shock hypoglycaemic	Hypoglycémie de choc
Shock insulin	Insuline de choc
Short period	Courte période
Short-bowel syndrome	Syndrome de l'intestin court
Short-term memory loss	Perte de mémoire à court terme
Shortened cervix	Col raccourci
Shoulder pain	Mal d'épaule
Shunt infection	Infection shunt
Shunt thrombosis	Thrombose shunt
Shutdown renal	Arrêt rénal
Shy-Drager syndrome	Syndrome de Shy-Drager
Sialoadenitis	Sialoadénite
Sick sinus syndrome	Maladie du sinus
Sickle cell anaemia	Anémie falciforme
Sickle cell anaemia with crisis	Anémie falciforme avec crise
Sickness	Maladie
Sideroblastic anaemia	Anémie sidéroblastique
Silicosis	Silicose
Simple partial seizures	Saisies partielles simples
Single functional kidney	Rein simple fonctionnel
Single umbilical artery	Artère ombilicale unique
Sinoatrial block	Bloc sino-auriculaire
Sinoatrial node dysfunction	Dysfonctionnement ganglionnaire sino-auriculaire
Sinobronchitis	Sinobronchite
Sinus arrest	Arrestation des sinus
Sinus arrhythmia	Arythmie sinusale
Sinus bradycardia	Bradycardie sinusale
Sinus congestion	Congestion des sinus
Sinus disorder	Trouble des sinus
Sinus headache	Mal de tête sinus
Sinus operation	Fonctionnement des sinus
Sinus pain	Douleur des sinus
Sinus rhythm	Rythme sinusal
Sinus tachycardia	Tachycardie sinusale
Sinusitis	Sinusite
Sinusitis bacterial	Sinusite bactérienne
Sjogren's syndrome	Syndrome de Sjogren
Skeletal injury	Blessure squelettique
Skeletal muscle paralysis	Paralysie des muscles squelettiques
Skin atrophy	Atrophie cutanée
Skin bacterial infection	Infection bactérienne cutanée
Skin bleeding	Saignement cutané
Skin breakdown	Décomposition de la peau
Skin burning sensation	Sensation de brûlure cutanée
Skin callus	Callus cutané
Skin cancer	Cancer de la peau
Skin candida	Candidose cutanée
Skin carcinoma	Carcinome cutané
Skin cold clammy	Peau moite et froide
Skin depigmentation	Dépigmentation cutanée
Skin discolouration	Décoloration de la peau
Skin discomfort	Gêne cutanée
Skin disorder	Troubles de la peau
Skin erosion	Érosion cutanée
Skin exfoliation	Exfoliation cutanée
Skin fibrosis	Fibrose cutanée
Skin fissures	Fissures cutanées
Skin fragility	Fragilité cutanée
Skin haemorrhage	Hémorragie cutanée
Skin hyperpigmentation	Hyperpigmentation cutanée
Skin hypertrophy	Hypertrophie cutanée
Skin induration	Induration cutanée
Skin infection	Infection de la peau
Skin irritation	Irritation de la peau
Skin laceration	Lacération cutanée
Skin lesion	Lésion de la peau
Skin maceration	Macération cutanée
Skin mass	Masse cutanée
Skin necrosis	Nécrose cutanée
Skin nodule	Nodule cutané
Skin odour abnormal	Odeur cutanée anormale
Skin oedema	Oedème cutané
Skin papilloma	Papillome cutané
Skin reaction	Réaction cutanée
Skin roughness	Rugosité de la peau
Skin scaly	Peau écailleuse
Skin scarring	Cicatrices cutanées
Skin sensitisation	Sensibilisation cutanée
Skin striae	Stries cutanées
Skin swelling	Gonflement de la peau
Skin tear	Déchirure de la peau
Skin tenderness	Sensibilité cutanée
Skin test positive	Test cutané positif
Skin test reaction	Réaction au test cutané
Skin thickening	Épaississement de la peau
Skin thinness	Amincissement de la peau
Skin tightness	Tiraillement cutané
Skin toxicity	Toxicité cutanée
Skin ulcer	Ulcère cutané
Skin warm	Peau chaude
Skin wound	Blessure cutanée
Skin wrinkling	Rides de la peau
Skin xerosis	Xérose cutanée
Skipped beats	Battements ignorés
Skull hypoplasia	Hypoplasie du crâne
Skull malformation	Malformation du crâne
Sleep apnoea syndrome	Syndrome d'apnée du sommeil
Sleep attacks	Attaques de sommeil
Sleep disorder	Troubles du sommeil
Sleep disturbance	Trouble du sommeil
Sleep paralysis	Paralysie du sommeil
Sleep phase rhythm disturbance	Perturbation du rythme de la phase de sommeil
Sleep talking	Parler en dormant
Sleep terror	Terreur du sommeil
Slipped femoral capital epiphysis	Épiphyse du capital fémoral glissé
Slough injection site	Site d'injection Slough
Slow speech	Discours lent
Sluggishness	Lenteur
Slurred speech	Troubles de l'élocution
Small bowel angioedema	Angio-?dème de l'intestin grêle
Small cell carcinoma	Carcinome à petites cellules
Small cell lung cancer	Cancer du poumon à petites cellules
Small cell lung cancer recurrent	Cancer du poumon à petites cellules récurrent
Small intestinal obstruction	Petite obstruction intestinale
Small intestinal perforation	Petite perforation intestinale
Small intestine ulcer	Ulcère de l'intestin grêle
Smarting	Picotement
Smear cervix abnormal	Frottis cervical anormal
Smear cervix normal	Frottis cervical normal
Smoke inhalation	Inhalation de fumée
Sneezing	Éternuements
Sneezing excessive	Éternuements excessifs
Snoring	Ronflement
Social avoidant behaviour	Comportement d'évitement social
Social fear	Peur sociale
Social phobia	Phobie sociale
Social withdrawal	Retrait social
Sodium decreased	Sodium diminué
Sodium high	Sodium élevé
Soft stools	Tabourets mous
Soft tissue disorder	Trouble des tissus mous
Soft tissue infection	Infection des tissus mous
Soft tissue inflammation	Inflammation des tissus mous
Soft tissue injury	Lésion des tissus mous
Soft tissue necrosis	Nécrose des tissus mous
Solar dermatitis	Dermatite solaire
Solar lentigo	Lentigo solaire
Solid tumour	Tumeur solide
Somatic hallucination	Hallucination somatique
Somatoform disorder	Trouble somatoforme
Somatoform disorder cardiovascular	Trouble somatoforme cardiovasculaire
Somnambulism	Somnambulisme
Somnolence	Somnolence
Somnolence neonatal	Somnolence néonatale
Sore eye	Douleur occulaire
Sore mouth	Bouche endolorie
Sore nose	Nez douloureux
Sour stomach	Aigreurs d'estomac
Spasm biliary	Spasme biliaire
Spasm of accommodation	Spasme d'hébergement
Spasm of sphincter of Oddi	Spasme du sphincter d'Oddi
Spasmodic dysphonia	Dysphonie spasmodique
Spastic paralysis	Paralysie spastique
Spastic paraparesis	Paraparésie spastique
Speech and language abnormalities	Anomalies de la parole et du langage
Speech disorder	Trouble de la parole
Speech impairment NOS	Atteinte à la parole SAI
Speech loss	Perte de la parole
Sperm concentration	Concentration de sperme
Sperm concentration decreased	Concentration de sperme diminuée
Sperm count decreased	Nombre de spermatozoïdes diminué
Spermatocele	Spermatocèle
Spermatogenesis abnormal	Spermatogenèse anormale
Spermatogenesis arrest	Arrêt de la spermatogenèse
Spermatozoa abnormal	Spermatozoïdes anormaux
Sphincter of Oddi dysfunction	Sphincter de la dysfonction Oddi
Spider bite	Morsure d'araignée
Spina bifida	Spina bifida
Spina bifida occulta	Spina bifida occulta
Spinal anaesthesia	Anesthésie rachidienne
Spinal compression fracture	Fracture de compression vertébrale
Spinal cord compression	Compression de la moelle épinière
Spinal cord disorder	Trouble de la moelle épinière
Spinal cord haemorrhage	Hémorragie médullaire
Spinal cord infarction	Infarctus de la moelle épinière
Spinal cord injury	Lésion de la moelle épinière
Spinal cord paralysis	Paralysie médullaire
Spinal disorder	Trouble vertébral
Spinal epidural haematoma	Hématome épidural rachidien
Spinal fracture	Fracture vertébrale
Spinal haematoma	Hématome vertébral
Spinal osteoarthritis	Arthrose vertébrale
Spine malformation	Malformation de la colonne vertébrale
Spleen disorder	Trouble de la rate
Spleen palpable	Rate palpable
Splenic flexure syndrome	Syndrome de flexion splénique
Splenic infarction	Infarctus splénique
Splenic peliosis	Péliose splénique
Splenic rupture	Rupture splénique
Splenic sequestration	Séquestration splénique
Splenomegaly	Splénomégalie
Splinter haemorrhages	Hémorragies éclatantes
Splitting nails	Fendre les ongles
Spondylitis	Spondylarthrite
Spondyloarthropathy	Spondylarthropathie
Spondylosis	Spondylose
Spontaneous bruising	Ecchymoses spontanées
Spontaneous haematoma	Hématome spontané
Spontaneous penile erection	Érection du pénis spontanée
Sporotrichosis	Sporotrichose
Sports injury	Blessure sportive
Spots before eyes	Taches sous les yeux
Spotting menstrual	Repérer les règles
Spotting vaginal	Repérer le vagin
Sprain	Entorse
Sprue	Sprue
Sputum discoloured	Crachats décolorés
Sputum increased	Crachats augmentés
Sputum purulent	Crachats purulents
Squamous cell carcinoma	Carcinome épidermoïde
Squamous cell carcinoma of head and neck	Carcinome épidermoïde de la tête et du cou
Squamous cell carcinoma of lung	Carcinome épidermoïde du poumon
Squamous cell carcinoma of skin	Carcinome épidermoïde de la peau
ST segment elevation myocardial infarction	Infarctus du myocarde avec sus-décalage du segment ST
Stable angina pectoris	Angine de poitrine stable
Staggering gait	Démarche stupéfiante
Staphylococcal bacteraemia	Bactériémie staphylococcique
Staphylococcal infection	Infection staphylococcique
Staphylococcal scalded skin syndrome	Syndrome de peau échaudée staphylococcique
Staphylococcal skin infection	Infection cutanée staphylococcique
Staphylococcus aureus bacteremia	Bactériémie à Staphylococcus aureus
Stargardt's disease	Maladie de Stargardt
Staring	Regarder
Stasis dermatitis	Dermatite de stase
Stasis syndrome	Syndrome de stase
Status asthmaticus	Statut asthmatique
Status epilepticus	État de mal épileptique
Status epilepticus grand mal	Statut epilepticus grand mal
Steatorrhoea	Stéatorrhée
Stent occlusion	Occlusion de stent
Stereotypy	Stéréotypie
Steroid acne	Acné stéroïde
Steroid myopathy	Myopathie stéroïdienne
Steroid psychosis	Psychose stéroïdienne
Steroid withdrawal syndrome	Syndrome de sevrage des stéroïdes
Steroid-resistant nephrotic syndrome	Syndrome néphrotique résistant aux stéroïdes
Stevens-Johnson syndrome	Syndrome de Stevens-Johnson
Sticky skin	Peau collante
Stiff back	Retour raide
Stiff person syndrome	Syndrome des personnes rigides
Stiffness	Raideur
Still's disease	Maladie de Still
Stillbirth	Mortinaissance
Sting	Piquer
Stinging	Piqûre
Stinging of nose	Piqûre de nez
Stinging skin	Piqure de la peau
Stomach ache	Maux d'estomac
Stomach cramps	Crampes d'estomac
Stomach dilation procedure	Procédure de dilatation d'estomac
Stomal ulcer	Ulcère stomal
Stomatitis	Stomatite
Stomatitis necrotising	Stomatite nécrosante
Strabismus	Strabisme
Strangulation	Étranglement
Strangury	Étrangeté
Streptobacillary fever	Fièvre streptobacillaire
Streptococcal endocarditis	Endocardite streptococcique
Streptococcal infection	Infection streptococcique
Streptococcal sepsis	Septicémie streptococcique
Streptococcus pyogenes pharyngitis	Pharyngite à Streptococcus pyogenes
Stress	Stress
Stress at work	Stress au travail
Stress fracture	Fracture de stress
Stress symptoms	Symptômes de stress
Stress ulcer	Ulcère de stress
Stress urinary incontinence	Incontinence urinaire d'effort
Stridor	Stridor
Stridor inspiratory	Stridor inspiratoire
Stroke volume increased	Augmentation du volume de course
Strongyloidiasis	Strongyloidiasis
Stupor	Stupeur
Stuttering	Bégaiement
Subacromial bursitis	Bursite sous-acromiale
Subacute bacterial endocarditis	Endocardite bactérienne subaiguë
Subacute endocarditis	Endocardite subaiguë
Subarachnoid haemorrhage	Hémorragie sous-arachnoïdienne
Subclinical hypothyroidism	Hypothyroïdie subclinique
Subclinical infection	Infection subclinique
Subconjunctival cyst	Kyste sous-conjonctival
Subconjunctival hemorrhage	Hémorragie sous-conjonctivale
Subcutaneous abscess	Abcès sous-cutané
Subcutaneous bleeding	Saignement sous-cutané
Subcutaneous haematoma	Hématome sous-cutané
Subcutaneous nodule	Nodule sous-cutané
Subdural effusion	Épanchement sous-dural
Subdural haematoma	Hématome sous-dural
Subependymal giant cell astrocytoma	Astrocytome sous-épendymaire à cellules géantes
Subepithelial opacities	Opacités sous-épithéliales
Subglottic edema	Oedème sous-glottique
Subileus	Subiléus 
Subjective visual disturbances	Troubles visuels subjectifs
Subluxation hip	Subluxation hanche
Submandibular mass	Masse submandibulaire
Substance abuse	Abus de substance
Substance-induced psychotic disorder	Trouble psychotique induit par une substance
Sucrase-isomaltase deficiency	Déficit en sucrase-isomaltase
Sudden cardiac death	Mort cardiaque subite
Sudden deafness	Surdité soudaine
Sudden death	Mort subite
Sudden death, cause unknown	Mort subite, cause inconnue
Sudden hearing loss	Perte auditive soudaine
Sudden infant death syndrome	Syndrome de mort subite du nourrisson
Sudden onset of sleep	Début de sommeil soudain
Sudden unexplained death in epilepsy	Mort subite inexpliquée dans l'épilepsie
Sudden visual loss	Perte visuelle soudaine
Suicidal behaviour	Comportement suicidaire
Suicidal ideation	Idées suicidaires
Suicidal tendency	Tendance suicidaire
Suicide	Suicide
Suicide attempt	Tentative de suicide
Sulphaemoglobinaemia	Sulphémoglobinémie
Sunburn	Coup de soleil
Sunken eyes	Yeux enfoncés
Superficial basal cell carcinoma	Carcinome basocellulaire superficiel
Superficial phlebothrombosis	Phlébothrombose superficielle
Superficial punctate keratopathy	Kératopathie ponctuée superficielle
Superficial thrombophlebitis of leg	Thrombophlébite superficielle de la jambe
Superinfection	Surinfection
Superior sagittal sinus thrombosis	Thrombose du sinus sagittal supérieur
Superior vena cava syndrome	Syndrome de la veine cave supérieure
Supernumerary nipple	Mamelon surnuméraire
Superovulation	Superovulation
Supine hypotension	Hypotension couchée
Suppressed lactation	Suppression de la lactation
Suprapubic pain	Douleur sus-pubienne
Supraspinatus tendonitis	Tendinite supraspinatus
Supraventricular extrasystoles	Extrasystoles supraventriculaires
Supraventricular tachyarrhythmia	Tachyarythmie supraventriculaire
Supraventricular tachycardia	Tachycardie supraventriculaire
Surgery	Chirurgie
Surgical intervention	Intervention chirurgicale
Surgical menopause	Ménopause chirurgicale
Surgical site reaction	Réaction au site opératoire
Suspiciousness	Suspicion
Sustained ventricular tachycardia	Tachycardie ventriculaire soutenue
Suture related complication	Complication liée à la suture
Sweat gland disorder	Trouble des glandes sudoripares
Sweat gland tumour	Tumeur des glandes sudoripares
Sweating	Transpiration
Sweating decreased	Transpiration diminuée
Sweating increased	Transpiration accrue
Swelling	Gonflement
Swelling face	Visage gonflé
Swelling of eyelid	Gonflement des paupières
Swelling of knees	Gonflement des genoux
Swelling of legs	Gonflement des jambes
Swelling of limb	Gonflement d'un membre
Swollen arm	Bras gonflé
Swollen tongue	Langue enflée
Sycosis barbae	Sycosis barbae
Sympathetic ophthalmia	Ophtalmie sympathique
Sympathomimetic effect	Effet sympathomimétique
Symptomatic hyperlactatemia	Hyperlactatémie symptomatique
Syncope	Syncope
Syncope vasovagal	Syncope vasovagal
Syndactyly	Syndactylie
Syndrome Fanconi-like	Syndrome de type Fanconi
Syndrome screaming	Syndrome hurlant
Syndrome sicca	Syndrome sicca
Synovial cyst	Kyste synovial
Synovitis	Synovite
Syphilis	Syphilis
Syringomyelia	Syringomyélie
Syrinx	Syrinx
Systemic allergic reaction	Réaction allergique systémique
Systemic candida	Candida systémique
Systemic inflammatory response syndrome	Syndrome de réponse inflammatoire systémique
Systemic lupus erythematosus	Lupus érythémateux disséminé
Systemic lupus erythematosus rash	Éruption cutanée du lupus érythémateux disséminé
Systemic mastocytosis	Mastocytose systémique
Systemic mycosis	Mycose systémique
Systemic sclerosis	Sclérose systémique
Systolic dysfunction	Dysfonction systolique
Systolic ejection murmur	Murmure d'éjection systolique
Systolic hypertension	Hypertension systolique
Systolic murmur	Murmure systolique
T-cell lymphoma	Lymphome à cellules T
T-cell type acute leukaemia	Leucémie aiguë de type T
Tachyarrhythmia	Tachyarythmie
Tachycardia	Tachycardie
Tachycardia foetal	Tachycardie f?tale
Tachycardia nervous	Tachycardie nerveuse
Tachycardia paroxysmal	Tachycardie paroxystique
Tachyphrenia	Tachyphrenie
Tachyphylaxis	Tachyphylaxie
Tachypnoea	Tachypnée
Talipes	Talipes
Talkativeness	Loquacité
Tandem gait test abnormal	Test de marche en tandem anormal
Tardive dyskinesia	Dyskinésie tardive
Taste altered	Goût altéré
Taste bitter	Goût amer
Taste disorders	Troubles du goût
Taste metallic	Goût métallique
Taste peculiar	Goût particulier
Taste salty	Goût salé
Taste sour	Goût aigre
Taste sweet	Goût sucré
Tearfulness	Larme
Tearing eyes	Yeux déchirants
Teeth clenching	Serrage des dents
Teething	Dentition
Teething pain	Douleur de dentition
Telangiectasia	Télangiectasie
Telangiectasis facial	Télangiectasie du visage
Telogen effluvium	Effluvium télogène
Temper tantrum	Crise de colère
Temperature intolerance	Intolérance à la température
Temperature regulation disorder	Trouble de la régulation de la température
Temporal arteritis	Artérite temporale
Temporal disorientation	Désorientation temporelle
Temporal lobe epilepsy	Épilepsie du lobe temporal
Temporomandibular joint syndrome	Syndrome de l'articulation temporo-mandibulaire
Tenderness	Tendresse
Tendinous contracture	Contracture tendineuse
Tendon disorder	Trouble tendineux
Tendon injury	Blessure au tendon
Tendon pain	Douleur tendineuse
Tendon reflex decreased	Réflexe tendineux diminué
Tendon rupture	Rupture tendineuse
Tendonitis	Tendinite
Tenosynovitis	Ténosynovite
Tension	Tension
Tension headache	Céphalée de tension
Teratogenicity	Tératogénicité
Terminal insomnia	Insomnie terminale
Testicular atrophy	Atrophie testiculaire
Testicular disorder	Trouble testiculaire
Testicular failure primary	Insuffisance testiculaire primaire
Testicular neoplasm	Tumeur testiculaire
Testicular pain	Douleur testiculaire
Testicular swelling	Gonflement testiculaire
Testis cancer	Cancer des testicules
Testosterone deficiency	Carence en testostérone
Testosterone low	Faible taux de testostérone
Tetanus	Tétanos
Tetanus-like	Similaire au tétanos
Tetany	Tetany
Tetrahydrobiopterin deficiency	Carence en tétrahydrobioptérine
Thalassaemia	Thalassémie
Thalassaemia beta	Thalassémie bêta
Therapeutic response decreased	Réponse thérapeutique diminuée
Therapeutic response increased	Augmentation de la réponse thérapeutique
Therapeutic response unexpected	Réponse thérapeutique inattendue
Therapy naive	Thérapie naïve
Thermal burn	Brûlure thermique
Thinking abnormal	Penser anormal
Thirst	Soif
Thoracic vertebral fracture	Fracture vertébrale thoracique
Thought blocking	Blocage de la pensée
Thready pulse	Pouls filant
Throat irritation	Irritation de la gorge
Throat sore	Mal de gorge
Throat tightness	Oppression dans la gorge
Throbbing headache	Maux de tête lancinants
Thromboangiitis obliterans	Thromboangiitis obliterans
Thrombocytopenia	Thrombocytopénie
Thrombocytopenia aggravated	Thrombocytopénie aggravée
Thrombocytopenia toxic	Thrombocytopénie toxique
Thrombocytopenic purpura	Purpura thrombocytopénique
Thrombocytosis	Thrombocytose
Thromboembolic event	Événement thromboembolique
Thromboembolic stroke	AVC thromboembolique
Thromboembolism	Thromboembolie
Thrombophilia	Thrombophilie
Thrombophlebitis	Thrombophlébite
Thrombophlebitis injection site	Site d'injection de thrombophlébite
Thrombophlebitis leg deep	Thrombophlébite jambe profonde
Thrombophlebitis of the leg	Thrombophlébite de la jambe
Thrombophlebitis superficial	Thrombophlébite superficielle
Thromboplastin decreased	Thromboplastine diminuée
Thrombosis	Thrombose
Thrombosis in device	Thrombose dans l'appareil
Thrombosis leg	Jambe de thrombose
Thrombosis mesenteric vessel	Vaisseau mésentérique de thrombose
Thrombotic microangiopathy	Microangiopathie thrombotique
Thrombotic thrombocytopenic purpura	Purpura thrombotique thrombotique
Thymoma	Thymome
Thyroglobulin increased	Augmentation de la thyroglobuline
Thyroid adenoma	Adénome thyroïdien
Thyroid cancer	Cancer de la thyroïde
Thyroid carcinoma	Carcinome thyroïdien
Thyroid disorder	Trouble thyroïdien
Thyroid function abnormal	Fonction thyroïdienne anormale
Thyroid function test abnormal	Test de la fonction thyroïdienne anormal
Thyroid neoplasm	Tumeur thyroïdienne
Thyroid nodule	Nodule thyroïdien
Thyroiditis	Thyroïdite
Thyroiditis subacute	Thyroïdite subaiguë
Thyrotoxic crisis	Crise thyréotoxique
Thyrotoxicosis	Thyrotoxicose
Thyrotropin high	Thyrotropine élevée
Thyrotropin low	Thyrotropine faible
Thyroxine decreased	Thyroxine diminuée
Thyroxine free decreased	Sans thyroxine diminuée
TIBC	TIBC
Tibial torsion	Torsion tibiale
Tic	Tic
Tight foreskin	Prépuce serré
Tightness in jaw	Étanchéité dans la mâchoire
Tinea barbae	Tinea barbae
Tinea capitis	Teigne
Tinea cruris	Tinea cruris
Tinea infection	Infection de teigne
Tinea pedis	Pied d'athlète
Tinea versicolour	Tinea versicolour
Tingling feet/hands	Picotements des pieds / mains
Tingling of extremity	Picotements aux extrémités
Tingling sensation	Sensation de picotements
Tingling skin	Picotements cutanés
Tinnitus	Acouphène
Tinnitus aggravated	Acouphènes aggravés
Tired and heavy	Fatigué et lourd
